district_id,crop,risk_condition,recommendation,rationale,source_url,verified_grounded
mh_sambhajinagar,general,monsoon onset delayed / insufficient rainfall (less than 80-100 mm),Delay kharif sowing until the state receives 80-100 millimeters of rainfall.,The advisory aims to prevent crop losses and reduce financial strain on farmers due to inadequate soil moisture conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHQZdodYHtDd9QYeUfXQolgYX8SNNPdR1Nzm19iyopukZuBqW75zYJtr--ENAsQCBe_tMlmRs1Wc4A37Z2LxvmGht-D3kCegiZT9pJhR3moGdj_gmRRm8DNf3JS8Ati98FK2MyhIf1z7pOVWH4I1x0Kh13MA8ROp3B7QJDK-MOMGNgboW6FQASu7HCRqR9RXMjtYdzhmBIe8_6JCcc9Ncry4aP4Rc2STAwbHP-LGTsOk6pJs-s1cLzDBhP1mAF7oypCnFFnp-UvClHXtiovdpWj0uWUTA==,True
mh_sambhajinagar,general,below-normal rainfall / delayed monsoon,"Promote short-duration crop varieties and those capable of delivering higher yields with lower water requirements. Consider shifting to less water-intensive crops like millets (jowar, bajra) and pulses (tur, gram, moong).",This strategy aims to mitigate risks associated with below-normal rainfall and ensure better crop establishment and resilience during dry spells.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHQZdodYHtDd9QYeUfXQolgYX8SNNPdR1Nzm19iyopukZuBqW75zYJtr--ENAsQCBe_tMlmRs1Wc4A37Z2LxvmGht-D3kCegiZT9pJhR3moGdj_gmRRm8DNf3JS8Ati98FK2MyhIf1z7pOVWH4I1x0Kh13MA8ROp3B7QJDK-MOMGNgboW6FQASu7HCRqR9RXMjtYdzhmBIe8_6JCcc9Ncry4aP4Rc2STAwbHP-LGTsOk6pJs-s1cLzDBhP1mAF7oypCnFFnp-UvClHXtiovdpWj0uWUTA==,False
mh_sambhajinagar,"cotton, soybean",monsoon delayed beyond the third week of July (for cotton/soybean) or 2-3 weeks delay (for cotton),"Avoid sowing cotton and soybeans beyond the third week of July. If cotton sowing is between July 2 and July 15, increase cottonseed usage by 20% and intercrop with jowar and tur. If delayed beyond five weeks (July 23-29), avoid cotton sowing or use indigenous varieties, increase seed use by 25-30%, reduce area under cotton, and give preference to tur. For soybeans, complete sowing by July 25.",Delayed sowing beyond these periods can severely impact yields and increase financial risks.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGHY_RGGvG90YxoR7MZ3BoQuaND7dnLeUNmWW9uwsGQeIErdr08n8kW7orLOSQA_zlkZBDWTfl4H4NIDk4G6SWLJmysuVnENGNVGeLhKmnssm_tavKYk_nM7OHV1KTPpSjqWM8EDX3Qg7s16PBj4iL1VxJEJixRcuUV-WZtvO7FHNtOzUAcUEv5S0Y289KbWH9qqV9iSxe5SbM4CbdiGJ0kVo-F8I5NPF-P2kNdLECk0F3rrWY=,True
mh_beed,general,Monsoon onset delayed and inadequate soil moisture,"Delay kharif sowing until adequate and sustained rainfall is received, waiting for four to eight days of satisfactory rainfall after the first showers.","Inadequate rainfall can lead to poor germination, uneven crop establishment, and financial losses from re-sowing.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFYNSui1iFcmzb_E_Onegu0jz7e9WBtqLIVCjQHP2HO4jhnfVAmZ82Tp6uMPjl5f0rSGVfTE5YY8bNVz9Dw56eGOZaRH1RR_YHuZi-ZbHx2YhiWuNp3L_--LI5cjbPsijw8A3Jo4fDW2HJTfPwN-jWXNmPtthW3PQoIOjPcWrpF9ENBEJMiJK1Lr1-8Prj3GeOeur7agM6JTm2XLSTbiAtJcsACQul8bSecrQ==,False
mh_beed,"cotton, soybean, tur",Rains delayed beyond July 8,"Focus on crops such as cotton, jowar, bajra, soybean, tur, sesame, and sunflower, while avoiding crops such as moong and groundnut; additionally, avoid sowing cotton and soybeans beyond the third week of July.","Crop selection, seed varieties, and sowing schedules must be adjusted according to rainfall patterns to prevent productivity fall and financial losses, as delayed sowing could severely impact yields.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHFM0G-GFTmuwtfBiEVnV4H5keQuvYItStlu2PQ7kih4Q1K_BqTF3Ud55Mrg0Arh3VDWVQIBUAyFYYu3ImtTL_XKFgK8uBrfwrKSeNKyZfoc9c2key1FX4Yyz8QnA95PdE-ebY3tCVa2PSd7yMRxKGIPXztCInEvRi46-2TuFOtAsEploxJmfBQR_Ve9dZwmNS85ub3C87z24DaSW36FZ1XOFejJ0NjCgIHGGkRpK1KzGM6IQ==,True
mh_beed,"cotton, soybean, tur",Monsoon delayed beyond five weeks (sowing between July 23 and July 29),"Avoid cotton sowing; if sowing is undertaken, use indigenous varieties, increase cotton seed use by 25-30%, reduce the area under cotton, and give preference to tur; for soybeans, use 75-80 kg of quality seeds per hectare.",These are stringent recommendations for situations where the monsoon is significantly delayed to cope with drought-like conditions and minimize losses.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHFM0G-GFTmuwtfBiEVnV4H5keQuvYItStlu2PQ7kih4Q1K_BqTF3Ud55Mrg0Arh3VDWVQIBUAyFYYu3ImtTL_XKFgK8uBrfwrKSeNKyZfoc9c2key1FX4Yyz8QnA95PdE-ebY3tCVa2PSd7yMRxKGIPXztCInEvRi46-2TuFOtAsEploxJmfBQR_Ve9dZwmNS85ub3C87z24DaSW36FZ1XOFejJ0NjCgIHGGkRpK1KzGM6IQ==,True
mh_latur,general,Monsoon onset delayed or inadequate soil moisture (early June 2026),Farmers should not rush with sowing operations and wait for adequate soil moisture and sustained rainfall before entering fields.,"Premature sowing under inadequate soil moisture conditions can lead to poor germination and uneven crop establishment, increasing operational costs due to potential re-sowing.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGg_ru5AAYCmU8LQgUCU7_PHP9FRUsH3QB3XL1rqlV610NO8cG_hgn-Xbw83TTUzusecLJjwW2e3K5TUW4V1MW0PXAD9y4xw3v3sReStbU5QwRsiowCIjVOEU8xvczsiAH52GVq_EWe9J4xM3UmzZeV9_CfPz7NRwYFOeqVRq7V7SB7GxG4zqueG73hrYpt9GY0fbwncO8cOO3Fi-M6Ytq3Mxnn45q2va7A9ohZdWGa4cMdKR4=,False
mh_latur,soybean,Monsoon delayed beyond July 8,Farmers should complete soybean sowing by July 25 and avoid fresh sowing beyond that period.,Delayed sowing beyond this period could severely impact yields and increase financial risks.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGg_ru5AAYCmU8LQgUCU7_PHP9FRUsH3QB3XL1rqlV610NO8cG_hgn-Xbw83TTUzusecLJjwW2e3K5TUW4V1MW0PXAD9y4xw3v3sReStbU5QwRsiowCIjVOEU8xvczsiAH52GVq_EWe9J4xM3UmzZeV9_CfPz7NRwYFOeqVRq7V7SB7GxG4zqueG73hrYpt9GY0fbwncO8cOO3Fi-M6Ytq3Mxnn45q2va7A9ohZdWGa4cMdKR4=,False
mh_latur,"cotton, tur",Monsoon delayed beyond five weeks (July 23-29),"Farmers should avoid cotton sowing. If sowing is undertaken between July 23 and July 29, use indigenous varieties, increase seed use by 25-30%, reduce the area under cotton, and give preference to tur (pigeonpea).","Delayed sowing beyond this period could severely impact cotton yields and increase financial risks, making tur a more suitable alternative.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGg_ru5AAYCmU8LQgUCU7_PHP9FRUsH3QB3XL1rqlV610NO8cG_hgn-Xbw83TTUzusecLJjwW2e3K5TUW4V1MW0PXAD9y4xw3v3sReStbU5QwRsiowCIjVOEU8xvczsiAH52GVq_EWe9J4xM3UmzZeV9_CfPz7NRwYFOeqVRq7V7SB7GxG4zqueG73hrYpt9GY0fbwncO8cOO3Fi-M6Ytq3Mxnn45q2va7A9ohZdWGa4cMdKR4=,False
mh_dharashiv,soybean,2026 El Nino monsoon season with projected below-normal rainfall in Marathwada region,Avoid cultivating water-intensive crops like soybean and switch to millets and pulses.,Drought-resistant crops like millets and pulses show less production losses (5-13%) compared to crops like cotton and soybean under below-normal rainfall conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFE_SsQza0xd4Ezh3ceSk9Kiz_PguVFYYMSrjem8FvOK50XvgjAX02UrMjRUIV-VjpfJwujtpFWnhRzo2eB9U7Xgi120hokLfNazDQ3Bkv6B2mmKmDJmPu0NkYmfltBiuVn6__uWYww5LVIvG4uP8yfHs0se_O1qLYJODmt1Vuc-DE1qXc_uIBzNkbGOWVAZu2H0mwy8u9e1KcPse9m4pd3oDgb5eVe7XdhrfXOsNU3V2eFyY4urRlw_8p2smIy3WecRE9RGs991fU94NyhalSD6Lg5R4ynUrN_2FLMMzVF,True
