district_id,historical_drought_years,granularity,notes,source_url
mh_sambhajinagar,1972;2012-13;2014-15;2015-16;2018-19,regional,"Marathwada (incl. Aurangabad) hit by chronic drought since 2012; 2014-15 rainfall 44% below normal region-wide",https://peoplesdemocracy.in/2016/0131_pd/drought-marathwada-causes-consequences-and-remedies
mh_beed,2014-15;2015-16;2018-19,district,"Beed among 5 worst-hit Marathwada districts; SPI -1.68 (extreme drought) 2014-15; worst-affected again in 2018",https://pubs.sciepub.com/aees/9/7/5/
mh_latur,2014-15;2015-16,district,"Latur SPI -1.56 (extreme drought) 2014-15; city faced acute water crisis (2016 water-train episode) in Marathwada drought",https://pubs.sciepub.com/aees/9/7/5/
mh_dharashiv,2014-15;2015-16,district,"Osmanabad (Dharashiv) SPI -1.75, the most extreme drought value among Marathwada districts in 2014-15",https://pubs.sciepub.com/aees/9/7/5/
mh_jalna,2012-13;2014-15;2015-16,regional,"Jalna one of 8 Marathwada districts reeling under drought since 2013; part of the 5 worst-affected group",https://peoplesdemocracy.in/2016/0131_pd/drought-marathwada-causes-consequences-and-remedies
mh_parbhani,2012-13;2014-15;2015-16,district,"Parbhani among 5 worst-hit Marathwada districts; groundwater depletion of -2.87m linked to drought years",https://peoplesdemocracy.in/2016/0131_pd/drought-marathwada-causes-consequences-and-remedies
mh_hingoli,2012-13;2014-15;2015-16,district,"Hingoli among 5 worst-hit Marathwada districts; highest regional groundwater depletion (-4.35m)",https://peoplesdemocracy.in/2016/0131_pd/drought-marathwada-causes-consequences-and-remedies
mh_nanded,2012-13;2014-15;2015-16,regional,"Nanded among 5 worst-hit Marathwada districts reeling under drought since 2013",https://peoplesdemocracy.in/2016/0131_pd/drought-marathwada-causes-consequences-and-remedies
ka_kalaburagi,2012-13;2015-16;2018-19,regional,"Kalaburagi in North Interior Karnataka; declared drought-hit for Rabi 2015-16, deficient rainfall since 2012-13",https://sandrp.in/2016/05/07/karnataka-profile-of-2015-16-drought/
ka_vijayapura,2012-13;2015-16;2018-19,regional,"Vijayapura among North Interior Karnataka districts declared drought-affected 2015-16; Rs 10 crore relief released",https://sandrp.in/2016/05/07/karnataka-profile-of-2015-16-drought/
ka_bidar,2012-13;2015-16;2018-19,regional,"Bidar declared drought-affected for Rabi 2015-16 among 12 North Interior Karnataka districts",https://sandrp.in/2016/05/07/karnataka-profile-of-2015-16-drought/
rj_barmer,1899-1900;2002;2016-17;2018-19,district,"Barmer among 13 districts hit by 2016-17 famine; 2018-19 saw 131 villages severely drought-declared; 61 famine events in 100 yrs",https://www.downtoearth.org.in/water/why-barmers-groundwater-records-do-not-show-a-rise-despite-rs-1500-crore-pumped-in-3-years
rj_jaisalmer,1899-1900;2002;2016-17;2018-19,district,"Jaisalmer worst-hit in 2018-19 declaration: 632 villages severely drought-affected; chronic desert drought recurrence",https://www.india.com/news/india/rajasthan-government-declares-1388-villages-of-four-districts-drought-affected-3839651/
rj_jodhpur,2002;2016-17;2018-19,district,"Jodhpur among 4 districts with villages declared drought-affected Nov 2019 (297 moderate, 13 severe)",https://www.india.com/news/india/rajasthan-government-declares-1388-villages-of-four-districts-drought-affected-3839651/
gj_kutch,1987;2000;2012-13,regional,"Kutch part of Saurashtra-Kutch region hit hard in the 1987 famine (17 of 19 Gujarat districts affected) and recurring dry cycles",https://www.baps.org/News/1987/1987-Famine-Saurashtra-2339.aspx
gj_banaskantha,1986-87;2012-13,district,"Rural Banaskantha still recalls the 1986-87 'dukaal' hard-time drought; drought officially declared in Banaskantha in 2012-13",https://www.ids.ac.uk/opinions/is-extreme-rainfall-leading-to-green-drought-in-western-india/
mp_chhatarpur,2015-16;2019,district,"Chhatarpur among Bundelkhand districts declared drought-affected in MP's 2015-16 declaration (46/50 districts) and acute 2019 drought",https://www.indiawaterportal.org/articles/madhya-pradeshs-recurring-droughts-measuring-responding-and-reducing-vulnerabilities
mp_sagar,2015-16;2019,district,"Sagar named among worst Bundelkhand-MP drought districts in the 2015-16 declaration and 2019 acute drought (36 districts)",https://www.indiawaterportal.org/articles/madhya-pradeshs-recurring-droughts-measuring-responding-and-reducing-vulnerabilities
cg_mahasamund,2000,district,"Mahasamund named among Chhattisgarh districts affected by drought in November 2000 alongside Raipur, Rajnandgaon and Durg",https://nidm.gov.in/PDF/TrgReports/2011/September/temp/reading3.pdf
up_chitrakoot,2004-05;2005-06;2006-07;2007-08;2015-16,regional,"Chitrakoot is one of the 13 Bundelkhand districts; region saw 24-56% rainfall deficits across 2004-08 and drought again in 2015-16",https://nidm.gov.in/PDF/pubs/Bundelkhand%20Drought%202014.pdf
up_banda,2004-05;2005-06;2006-07;2007-08;2015-16,regional,"Banda is a core Bundelkhand district; region-wide rainfall deficits of 24-56% recorded 2004-08, drought recurred 2015-16",https://nidm.gov.in/PDF/pubs/Bundelkhand%20Drought%202014.pdf
br_gaya,2009;2010;2013,district,"Gaya explicitly named among Bihar districts declared drought-hit in 2009 (ReliefWeb); also a poor-monsoon district in 2010 and 2013",https://reliefweb.int/report/india/india-26-bihar-districts-declared-drought-hit
jh_palamu,1966;2006;2008;2009-10;2022,district,"Palamu worst-affected by drought in 2008; severe drought 2006; Palamu division among hardest-hit again in 2022 Jharkhand drought",https://www.outlookindia.com/national/is-drought-becoming-synonymous-with-jharkhand--news-342600
